Estado,Clave SIINAH,Tipo,Centro INAH,enero_nac,enero_ext,febrero_nac,febrero_ext,marzo_nac,marzo_ext
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,496,23,183,10,943,41
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",0,0,0,0,0,0
Baja California,3120040,Z.A.,Z.A. de El Vallecito,"1,323",7,"1,148",12,"1,074",25
Baja California Sur,2300200,M.- M.H,Museo Regional de Antropología e Historia de Baja California Sur,299,226,384,341,497,367
Baja California Sur,2400200,M.- M.H,Museo de Las Misiones Jesuíticas,239,70,552,131,744,249
Baja California Sur,2400300,M.- M.H,Museo de las Pinturas Rupestres de San Ignacio,0,0,57,29,18,0
Baja California Sur,4100016,M.- M.H,Misión de San Francisco Javier,"1,261",568,"1,143","1,060",974,"1,010"
Baja California Sur,3120007,Z.A.,Z.A. de San Francisco de la Sierra,0,0,275,47,22,0
Campeche,2400500,M.- M.H,"Museo de Arquitectura Maya, Baluarte de la Soledad",0,0,0,0,0,0
Campeche,2400400,M.- M.H,Museo de Arqueología Maya Fuerte de San Miguel,"4,022",494,"2,681",505,"3,241",520
Campeche,2400600,M.- M.H,Museo de Arqueología Maya del Camino Real de Hecelchakán,238,6,220,19,285,6
Campeche,2400700,M.- M.H,Museo de Arqueología Subacuática Fuerte de San José El Alto,"2,535",182,"1,688",161,"1,938",174
Campeche,3120005,Z.A.,Z.A. de Balamkú,264,312,209,333,245,388
Campeche,3110002,Z.A.,Z.A. de Becán,737,866,428,994,627,"1,025"
Campeche,3120008,Z.A.,Z.A. de Calakmul,"2,163","3,061","1,293","3,361","1,517","2,935"
Campeche,3120017,Z.A.,Z.A. de Chicanná,257,372,133,486,309,479
Campeche,3120020,Z.A.,Z.A. de Chunhuhub,82,24,67,2,77,11
Campeche,3110011,Z.A.,Z.A. de Dzibilnocac,520,6,357,6,383,15
Campeche,3110012,Z.A.,Z.A. de Edzná,"3,527","1,121","2,628",901,"2,837",919
Campeche,3110017,Z.A.,Z.A. de El Tigre,510,14,213,5,295,5
Campeche,3120042,Z.A.,Z.A. de Hochob,168,41,80,33,208,20
