Estado,Biblioteca,Dirección,Perfil de Acervo
Aguascalientes,Biblioteca del Centro INAH Aguascalientes,"Calle Juan de Montoro No. 226, Zona Centro, C.P. 2000, Aguascaliente",Colecciones del INAH
Baja California,Biblioteca “Rafael Molina Berbeyer” del Centro INAH Baja California," Av. Reforma No. 1333, Col. Nueva, C. P. 21100, Mexicali, Baja California.",Biblioteca y archivos de Baja California
Baja California Sur,Biblioteca del Centro INAH Baja California Sur,"Legaspy, entre Chiapas y Durango No. 1637, Col. Los Olivos, C.P. 23040, La Paz, Baja California Sur.",
Campeche,Biblioteca “Juan Francisco Sánchez Azcona”del Centro INAH Campeche  ,"Calle 59 No. 38, entre la Calle 14 y 16, Col. Centro, C.P. 24000, Campeche, Campeche.","Arqueologia, Antropologia, Arquitectura e Historia"
Chiapas,Biblioteca “Carlos Navarrete Cáceres” del Centro INAH Chiapas,"Calzada de los Hombres Ilustres s/n -, Col. Centro, 2° piso del Museo Regional, C.P. 29000, Tuxtla Gutierrez, Chiapas.",
Chiapas,Biblioteca Zona Arqueológica de Palenque,"Carretera a las Ruinas Km. 6.5, Zona Arqueológica de Palenque, C.P. 29960, Palenque, Chiapas.",
Chihuahua,Biblioteca del Centro INAH Chihuahua,"Paseo Bolivar No. 608, Col. Centro, C. P. 31000, Chihuahua, Chih.","Antropologia, Arqueologia, Historia, Lingüistica, Etnologia"
Chihuahua,"Biblioteca "" Juan Luis Sariego Rodríguez"" de la Escuela de Antropología e Historia del Norte de México","Politécnico Nacional (Calle 28) y 5 de Febrero  No. 301 Col. Guadalupe, C. P. 31410 Chihuahua, Chihuahua.",
Ciudad de Mexico,"Biblioteca Nacional de Antopología  e Historia ""Dr. Eusebio Davalos Hurtado""","Paseo de la Reforma y Calzada Gandhi S/N, Col. Polanco, C. P. 11560, Mexico, D. F.","Historia de Mexico, Arte, Antropologia, Etnologia, Arqueologia y otras ramas afines  Se divide en Acervo General, Fondo Reservado, Colecciones Especiales, Fondo Conventual, Hemeroteca Historica, Archivo Historico, Publicaciones Periodicas y Sala de Referencia"
Ciudad de Mexico,"Biblioteca  ""Guillermo Bonfil Batalla"" de la Escuela Nacional de Antropología e Historia","Vicente Guerrero No. 174, Zona Centro, C.P. 28000, Colima, Colima","Antropologia, Lingüistica, "
Ciudad de Mexico,"Biblioteca  ""Manuel del Castillo Negrete"" de la Escuela Nacional de Conservacion, Restauración y Museografía","Calle General Anaya numero 187 Col. San Diego Churubusco, Coyoacan  C. P. 04120, frente Ex-Convento de Churubusco, Mexico, D. F.","Conservacion y Restauracion de Bienes Muebles, Arquitectura, Museografia, Museologia, Ceramica, Fotografia, Escultura, Pintura, Textiles, Papel"
Ciudad de Mexico,Biblioteca “Javier Romero Molina” de la Dirección de Antropología Física,"Paseo de la Reforma y Gandhi, Col. Polanco, C. P. 11560, Mexico, D. F."," Coleccion de monografias, publicaciones periodicas y folletos enfocados en antropologia fisica, antropologia forense, antropologia osteologica, antropologia social y antropometria Historia e historia de Mexico, diccionarios especializados en medicina y antropologia fisica, enciclopedia de biologia, sobre medicina, sobre antropologia y sobre patologia"
Ciudad de Mexico,"Biblioteca ""José Luis Lorenzo Bautista” de la Subdirección de Laboratorio y Apoyo Académico ---  Consultar catálogo en línea"," Moneda No. 16, Col. Centro, C. P. 06060, Mexico, D. F.","Prehistoria, Arqueologia, Historia, Geologia, Antropologia, Arqueobotanica, Arqueozoologia, Paleontologia, Geofisica, Etnologia, Fechamiento y Quimica"
Ciudad de Mexico,Biblioteca “Manuel Gamio” del Museo del Templo Mayor ,"Guatemala No. 60, Col. Centro, Del. Cuauhtemoc C. P. 06060, Mexico, D. F.","Antropologia, Arqueologia e Historia, principalmente sobre la cultura mexica"
Ciudad de Mexico,"Biblioteca “Pedro Bosh Gimpera"" del Museo Nacional de las Culturas   ---   Consultar catálogo en línea","Calle de Moneda No. 13, Col. Centro, Del. Cuauhtemoc, C.P. 06060, Mexico, D. F.","Antropologia e Historia (Mesopotamia, Egipto, Grecia, Roma, China, Japon, Corea, Africa y America)"
Ciudad de Mexico,"Biblioteca ""Jorge Gurría Lacroix"" de la Coordinación Nacional de Monumentos Históricos","Correo Mayor No. 11, 2°. Piso, Col. Centro, C. P. 06060, Mexico, D. F.","Arquitectura, Restauracion y Conservacion de Monumentos Historicos de Mexico"
Ciudad de Mexico,"Biblioteca ""Paul Coremans"" de la Coordinación Nacional de Conservación del Patrimonio Cultural  ---   Consultar catálogo en línea","Xicotencatl y Gral. Anaya S/N, Col. San Diego Churubusco, Del. Coyoacan, C. P. 04120, Mexico, D. F.",Especializado en conservacion y restauracion de patrimonio artistico y cultural asi como en museografia y otros temas afines
Ciudad de Mexico,Biblioteca de la Dirección de Etnohistoria   ---   Consultar catálogo en línea,"Paseo de la Reforma y Calzada Gandhi, Col. Polanco, C. P. 11560, Mexico, D. F.","Etnohistoria, Antropologia e Historia"
Ciudad de Mexico,Biblioteca de la Dirección de Lingüística,"Paseo de la Reforma y Calzada Gandhi, Col. Polanco, C. P. 11560, Mexico, D. F.","ingüistica, reune dos tipos de materiales bibliohemerograficos: estudio, descripcion y ensenanza de lenguas indigenas - aprendizaje de las lenguas del mundo, con enfasis en las lenguas de Mexico; y la lingüistica como disciplina Esta conformada principalmente por: Monografias, Series, Tesis, Publicaciones Periodicas Especializadas, Facsimilares de Codices y Mapas"
Ciudad de Mexico,"Biblioteca del Ex Convento de Culhuacán, Centro Comunitario Culhuacán   ---   Consultar catálogo en línea","Morelos No. 10, Col. Culhuacan, Del. Iztapalapa, C.P. 09800, Mexico, D.F.",
Ciudad de Mexico,Biblioteca de la Dirección y Registro Público de Monumentos y Zonas Arqueológicas,"Av. Victoria 110, Col. Copilco del Bajo, C. P. 04340, Mexico D. F.",Arqueologia
Ciudad de Mexico,"Centro de Consulta  ""Catalejo de la Historia"" del Museo Nacional de las Intervenciones   ---   Consultar catálogo en línea","20 de Agosto y General Anaya, Col. San Diego Churubusco, Ex Convento de","Historia de Mexico, Arte y Literatura"
Ciudad de México,Biblioteca “Manuel Orozco y Berra” de la Dirección de Estudios Históricos ,"Allende No. 172, entre Juárez y Francisco I. Madero, Col. Tlalpan, C. P. 14000, México,  D. F.",
Ciudad de México,Centro de Documentación Museológica de la Coordinación Nacional de Museos y Exposiciones ,"Insurgentes Sur No. 421, 1er. Piso.  Torre ""C"" Col. Hipódromo Condesa, México, D.F. , C.P. 06100",
Ciudad de México,Biblioteca “Miguel Othón Mendizábal” de la Dirección de Etnología y Antropología Social ,"Av. San Jerónimo N° 880, Col. San Jerónimo Lidice. Del. Magdalena Contreras.  C.P.10200,  México, D.F.",
Ciudad de México,Biblioteca del Museo Nacional de Historia ,"1ra. Sección del Bosque de Chapultepec, Edificio Anexo al Castillo de Chapultepec, Del. Miguel Hidalgo, C. P. 11580, México, D. F.",
Durango,Biblioteca del Centro INAH Durango,"Av. 16 de Septiembre No. 130, Col. Silvestre Dorador, C. P. 34070, Durango, Durango.","Arqueologia, Historia y Antropologia"
Estado de Mexico,Biblioteca “Arqlgo. Ángel García Cook” de la Dirección de Salvamento Arqueológico,"Puente de Tecamachalco No. 17, Naucalpan de Juarez, C.P. 56500, Estado de Mexico.","Antropologia, Arqueologia e Historia de Mexico"
Estado de Mexico,"Centro de Documentación ""Pedro Armillas"" del Centro de Estudios Teotihuacanos   ---   Consultar catálogo en línea","Carretera Mexico - Piramides Km. 46, Zona Arqueologica de Teotihuacan, Circuito empedrado frente a la puerta # 5.","Teotihuacan, Arqueologia de Mexico, Arqueologia e Iconografia"
Estado de Mexico,Centro Comunitario Ecatepec “Casa de Morelos”  ---   Consultar catálogo en línea,"Km. 23.5 Antigua Carretera Mexico - Pachuca S/N, Col. San Juan Alcahuacan, C. P. 55000, Ecatepec de Morelos, Estado de Mexico.","Historia de Mexico, Historia Local, Antropologia, Etnografia, Arqueologia (publicaciones INAH) Tambien otras areas:  Literatura, Economia, Sociologia, Biologia, etc; Libros para Ninos"
Estado de México,Biblioteca “Pablo Ignacio Martínez del Río” del Museo Nacional del Virreinato   ,"Plaza Hidalgo No. 99, C. P. 54600, Tepotzotlán, Estado de México",
Estado de México,Biblioteca “Felipe Montemayor García” del Centro INAH del Estado de México ,"Calle José  Vicente Villada No. 107, Col. Centro, entre Miguel Hidalgo y José Ma. Morelos, a una cuadra de Los portales, Toluca, México C.P. 50080",
Guanajuato,Biblioteca del Centro INAH Guanajuato,"Calle Real No. 42, Col. Marfil, Ex Hacienda Torre de Guadalupe, C.P. 36251, Guanajuato, Guanajuato.","Antropologia, Arqueologia e Historia"
Guanajuato,Biblioteca Cervantina. Museo Regional de Guanajuato. Alhóndiga de Granaditas,"Méndizabal No. 6, Col. Centro, Guanajuato, Gto, C.P. 36000",
Guerrero,Biblioteca del Centro INAH Guerrero,":Cuauhtemoc No. 3, Barrio de San Mateo, C. P. 39022, Chilpancingo, Guerrero.","Antropologia Social, Arqueologia e Historia"
Jalisco,Biblioteca del Centro INAH Jalisco   ---   Consultar catálogo en línea,"Calle Liceo No. 168, Sector Hidalgo, Zona Centro, C.P. 44100, Guadalajara, Jalisco.","Historia, Arqueologia, Antropologia y Arquitectura"
Michoacán,"Biblioteca “Antonio Arriaga Ochoa”, Museo Regional Michoacano, Centro INAH Michoacán","Allende No. 305, Col. Centro, C.P. 58000, Morelia, Mich.",
Michoacán,"Archivo Histórico, Museo Histórico Casa de Morelos                    ","Morelos Sur 323, Centro, CP 58000, Morelia, Michoacán",
Morelos,Museo y Centro de Documentación Histórica “Ex Convento de Tepoztlán”   ---   Consultar catálogo en línea,"Envila y No reeleccion S/N, Col. Centro, C. P. 62520, Tepoztlan, Morelos. Planta alta del Museo Ex Convento de Tepoztlan.","Historia, Antropologia, Literatura, Archivo Historico de Tepoztlan (Ramo Penal 1921-1975), Fototeca Historica Local, Archivo Especializado en Historia de Tepoztlan, Textos infantiles y juveniles"
Morelos,Biblioteca Centro INAH Morelos ,"Matamoros No. 14, Col. Acapantzingo, C.P. 62440, Cuernavaca, Morelos.",
Nayarit,Biblioteca del Centro INAH Nayarit,"Av. Mexico No. 91 esquina con calle Zapata, Zona Centro, Tepic, Nayarit. ","Arqueologia, Antropologia, Arquitectura, Historia, Etnografia, Lingüistica, Obras diversas, Coleccion Cientifica, Geografia e Historia de Nayarit computacion, filosofia, literatura, biologia, ciencias medicas, geografia, lenguas, espanol, administracion, derecho, economia, educacion, fisica, quimica, bellas artes, ganaderia, agricultura, ingles, matematicas para niveles de primaria, secundaria preparatoria, incluso de nivel superior"
