id,id_aspirante,calificacion_ingles,calificacion_conocimientos_tecnicos,entrevista,desempeno_academico,calificacion_final,resultado
1,38,7.8,7.5,9.9,8.0,8.3,Aceptado
2,20,6.3,8.0,9.6,8.0,8.2,Aceptado
3,25,4.4,7.2,9.6,10.0,8.2,Aceptado
4,45,6.9,8.6,9.4,7.0,8.2,Aceptado
5,149,6.7,7.9,9.3,8.0,8.2,Aceptado
6,204,6.7,8.3,9.2,7.0,8.0,Aceptado
7,135,8.2,7.7,10.0,6.0,7.9,Aceptado
8,145,6.1,7.9,9.3,7.0,7.8,Aceptado
9,30,5.5,7.3,9.3,8.0,7.8,Aceptado
10,98,8.3,8.0,9.1,6.0,7.8,Aceptado
11,111,6.2,6.8,9.8,8.0,7.8,Aceptado
12,40,8.4,6.2,9.7,8.0,7.7,Aceptado
13,125,5.2,7.5,9.8,7.0,7.7,Aceptado
14,24,6.7,7.6,9.9,6.0,7.7,Aceptado
15,6,7.6,7.2,9.9,6.0,7.6,Aceptado
16,17,5.6,7.9,8.6,7.0,7.6,Aceptado
17,56,5.1,6.9,9.3,8.0,7.6,Aceptado
18,50,7.3,7.0,9.2,7.0,7.6,Aceptado
19,23,4.5,7.2,9.9,7.0,7.6,Aceptado
20,212,5.4,7.1,8.6,8.0,7.5,Aceptado
21,184,6.4,7.0,9.6,6.0,7.3,Aceptado
22,81,6.1,7.4,9.0,6.0,7.3,Aceptado
23,162,5.3,7.7,9.6,5.0,7.3,Aceptado
24,26,4.4,6.3,9.8,7.0,7.2,Aceptado
25,71,6.3,6.6,9.5,6.0,7.15,Aceptado
26,76,5.1,6.9,9.5,6.0,7.14,Aceptado
27,19,5.0,7.7,9.2,5.0,7.13,Aceptado
28,123,6.1,7.3,9.4,5.0,7.12,Aceptados sin beca
29,5,7.3,7.5,8.5,5.0,7.11,Aceptados sin beca
30,75,5.7,7.7,8.5,5.0,7.0,Aceptados sin beca
31,53,5.8,6.8,9.6,5.0,6.9,No aceptado
32,37,8.4,7.3,9.7,3.0,6.9,No aceptado
33,122,4.8,6.0,10.0,6.0,6.9,No aceptado
34,107,5.8,6.1,9.4,6.0,6.9,No aceptado
35,49,6.4,6.6,8.3,6.0,6.8,No aceptado
36,57,6.3,6.6,9.8,4.0,6.7,No aceptado
37,2,5.7,6.0,9.6,5.0,6.6,No aceptado
38,202,5.6,6.4,8.9,5.0,6.6,No aceptado
39,22,7.7,6.6,8.4,4.0,6.5,No aceptado
40,129,7.8,7.1,7.1,4.0,6.4,No aceptado
41,198,4.6,6.9,8.5,4.0,6.3,No aceptado
42,160,5.3,6.5,9.7,3.0,6.3,No aceptado
43,16,5.3,6.1,7.8,5.0,6.2,No aceptado
44,124,5.3,6.1,8.4,4.0,6.1,No aceptado
45,91,4.9,7.1,8.8,2.0,6.0,No aceptado
46,12,5.0,7.1,5.9,3.0,5.6,No aceptado
47,21,5.3,5.7,NA,NA,NA,No aceptado
48,32,3.3,4.7,NA,NA,NA,No aceptado
49,67,2.6,5.2,NA,NA,NA,No aceptado
50,93,5.7,4.3,NA,NA,NA,No aceptado
51,94,3.2,6.5,NA,NA,NA,No aceptado
52,102,3.6,5.9,NA,NA,NA,No aceptado
53,147,5.2,5.4,NA,NA,NA,No aceptado
54,151,3.4,6.9,NA,NA,NA,No aceptado
55,161,5.6,5.9,NA,NA,NA,No aceptado
56,169,5.5,4.2,NA,NA,NA,No aceptado
57,171,3.1,5.2,NA,NA,NA,No aceptado
58,173,3.8,4.9,NA,NA,NA,No aceptado
59,213,2.4,5.5,NA,NA,NA,No aceptado
