id_aspirante,calificacion_ingles,calificacion_conocimientos_tecnicos,entrevista,desempeno_academico,calificacion_final,resultado
38,7.8,7.5,9.9,8.0,8.3,Aceptado
20,6.3,8.0,9.6,8.0,8.2,Aceptado
25,4.4,7.2,9.6,10.0,8.2,Aceptado
45,6.9,8.6,9.4,7.0,8.2,Aceptado
149,6.7,7.9,9.3,8.0,8.2,Aceptado
204,6.7,8.3,9.2,7.0,8.0,Aceptado
135,8.2,7.7,10.0,6.0,7.9,Aceptado
145,6.1,7.9,9.3,7.0,7.8,Aceptado
30,5.5,7.3,9.3,8.0,7.8,Aceptado
98,8.3,8.0,9.1,6.0,7.8,Aceptado
111,6.2,6.8,9.8,8.0,7.8,Aceptado
40,8.4,6.2,9.7,8.0,7.7,Aceptado
125,5.2,7.5,9.8,7.0,7.7,Aceptado
24,6.7,7.6,9.9,6.0,7.7,Aceptado
6,7.6,7.2,9.9,6.0,7.6,Aceptado
17,5.6,7.9,8.6,7.0,7.6,Aceptado
56,5.1,6.9,9.3,8.0,7.6,Aceptado
50,7.3,7.0,9.2,7.0,7.6,Aceptado
23,4.5,7.2,9.9,7.0,7.6,Aceptado
212,5.4,7.1,8.6,8.0,7.5,Aceptado
184,6.4,7.0,9.6,6.0,7.3,Aceptado
81,6.1,7.4,9.0,6.0,7.3,Aceptado
162,5.3,7.7,9.6,5.0,7.3,Aceptado
26,4.4,6.3,9.8,7.0,7.2,Aceptado
71,6.3,6.6,9.5,6.0,7.15,Aceptado
76,5.1,6.9,9.5,6.0,7.14,Aceptado
19,5.0,7.7,9.2,5.0,7.13,Aceptado
123,6.1,7.3,9.4,5.0,7.12,Aceptados sin beca
5,7.3,7.5,8.5,5.0,7.11,Aceptados sin beca
75,5.7,7.7,8.5,5.0,7.0,Aceptados sin beca
53,5.8,6.8,9.6,5.0,6.9,No aceptado
37,8.4,7.3,9.7,3.0,6.9,No aceptado
122,4.8,6.0,10.0,6.0,6.9,No aceptado
107,5.8,6.1,9.4,6.0,6.9,No aceptado
49,6.4,6.6,8.3,6.0,6.8,No aceptado
57,6.3,6.6,9.8,4.0,6.7,No aceptado
2,5.7,6.0,9.6,5.0,6.6,No aceptado
202,5.6,6.4,8.9,5.0,6.6,No aceptado
22,7.7,6.6,8.4,4.0,6.5,No aceptado
129,7.8,7.1,7.1,4.0,6.4,No aceptado
198,4.6,6.9,8.5,4.0,6.3,No aceptado
160,5.3,6.5,9.7,3.0,6.3,No aceptado
16,5.3,6.1,7.8,5.0,6.2,No aceptado
124,5.3,6.1,8.4,4.0,6.1,No aceptado
91,4.9,7.1,8.8,2.0,6.0,No aceptado
12,5.0,7.1,5.9,3.0,5.6,No aceptado
21,5.3,5.7,,,,No aceptado
32,3.3,4.7,,,,No aceptado
67,2.6,5.2,,,,No aceptado
93,5.7,4.3,,,,No aceptado
94,3.2,6.5,,,,No aceptado
102,3.6,5.9,,,,No aceptado
147,5.2,5.4,,,,No aceptado
151,3.4,6.9,,,,No aceptado
161,5.6,5.9,,,,No aceptado
169,5.5,4.2,,,,No aceptado
171,3.1,5.2,,,,No aceptado
173,3.8,4.9,,,,No aceptado
213,2.4,5.5,,,,No aceptado
