Estado,Clave_SIINAH,Tipo,Centro_INAH,enero_nac,enero_ext,febrero_nac,febrero_ext,marzo_nac,marzo_ext
Aguascalientes,2300100.0,M.- M.H,Museo Regional de Historia de Aguascalientes,496,23,183,10,943,41
Baja California,2400100.0,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",0,0,0,0,0,0
Baja California,3120040.0,Z.A.,Z.A. de El Vallecito,1323,7,1148,12,1074,25
Baja California Sur,2300200.0,M.- M.H,Museo Regional de Antropología e Historia de Baja California Sur,299,226,384,341,497,367
Baja California Sur,2400200.0,M.- M.H,Museo de Las Misiones Jesuíticas,239,70,552,131,744,249
Baja California Sur,2400300.0,M.- M.H,Museo de las Pinturas Rupestres de San Ignacio,0,0,57,29,18,0
Baja California Sur,4100016.0,M.- M.H,Misión de San Francisco Javier,1261,568,1143,1060,974,1010
Baja California Sur,3120007.0,Z.A.,Z.A. de San Francisco de la Sierra,0,0,275,47,22,0
Campeche,2400500.0,M.- M.H,"Museo de Arquitectura Maya, Baluarte de la Soledad",0,0,0,0,0,0
Campeche,2400400.0,M.- M.H,Museo de Arqueología Maya Fuerte de San Miguel,4022,494,2681,505,3241,520
Campeche,2400600.0,M.- M.H,Museo de Arqueología Maya del Camino Real de Hecelchakán,238,6,220,19,285,6
Campeche,2400700.0,M.- M.H,Museo de Arqueología Subacuática Fuerte de San José El Alto,2535,182,1688,161,1938,174
Campeche,3120005.0,Z.A.,Z.A. de Balamkú,264,312,209,333,245,388
Campeche,3110002.0,Z.A.,Z.A. de Becán,737,866,428,994,627,1025
Campeche,3120008.0,Z.A.,Z.A. de Calakmul,2163,3061,1293,3361,1517,2935
Campeche,3120017.0,Z.A.,Z.A. de Chicanná,257,372,133,486,309,479
Campeche,3120020.0,Z.A.,Z.A. de Chunhuhub,82,24,67,2,77,11
Campeche,3110011.0,Z.A.,Z.A. de Dzibilnocac,520,6,357,6,383,15
Campeche,3110012.0,Z.A.,Z.A. de Edzná,3527,1121,2628,901,2837,919
Campeche,3110017.0,Z.A.,Z.A. de El Tigre,510,14,213,5,295,5
Campeche,3120042.0,Z.A.,Z.A. de Hochob,168,41,80,33,208,20
Campeche,3120043.0,Z.A.,Z.A. de Hormiguero,255,150,182,155,212,145
Campeche,3120058.0,Z.A.,Z.A. de Kankí,68,14,86,1,38,0
Campeche,3120096.0,Z.A.,Z.A. de Santa Rosa Xtampak,197,29,78,23,164,7
Campeche,3120118.0,Z.A.,Z.A. de Tohcok,120,23,107,0,149,12
Campeche,3120125.0,Z.A.,Z.A. de Xcalumkín,143,12,99,3,143,5
Campeche,3110041.0,Z.A.,Z.A. de Xpuhil,653,448,422,364,619,359
Campeche,3120098.0,Z.A.,Z.A. de Tabasqueño,0,0,0,0,0,0
Chiapas,2300500.0,M.- M.H,Museo Regional de Chiapas,287,14,377,27,1366,43
Chiapas,2401000.0,M.- M.H,Museo de los Altos de Chiapas,1319,460,1331,0,1639,512
Chiapas,2400900.0,M.- M.H,Museo Arqueológico del Soconusco,0,0,0,0,0,0
Chiapas,2400800.0,M.- M.H,Museo Arqueológico de Comitán,257,45,188,44,158,25
Chiapas,3110004.0,Z.A.,Z.A. de Bonampak,1455,649,1497,801,2089,898
Chiapas,3120019.0,Z.A.,Z.A. de Chincultic,1992,88,373,145,667,62
Chiapas,3110018.0,Z.A.,Z.A. de Izapa,1270,145,156,35,163,47
Chiapas,3110026.0,Z.A.,"Z.A. de Palenque con museo ""Alberto Ruz L´Huiller""",31865,5133,13283,6219,18844,6183
Chiapas,3120103.0,Z.A.,Z.A. de Tenam Puente,0,0,0,0,0,0
Chiapas,3110035.0,Z.A.,Z.A. de Toniná con museo de sitio,3205,339,1585,273,3004,321
Chiapas,3110044.0,Z.A.,Z.A. de Yaxchilán,2578,612,1721,1271,2392,1162
Chiapas,3220004.0,Z.A.,Z.A. de Chiapa de Corzo,258,43,129,23,296,23
Chiapas,3220028.0,Z.A.,Z.A de Lagartero,0,0,0,0,0,0
Chiapas,3120134.0,Z.A.,Z.A. de Iglesia Vieja,412,15,265,5,420,20
Chihuahua,2401100.0,M.- M.H,Museo de la Revolución en la Frontera,0,0,0,0,0,0
Chihuahua,3110028.0,Z.A.,Z.A. de Paquimé con Museo de las Culturas del Norte,161,51,1005,0,2265,209
Chihuahua,3110010.0,Z.A.,Z.A. de Cuarenta Casas,216,0,91,1,276,5
Chihuahua,3120027.0,Z.A.,Z.A. de Cueva de la Olla,956,31,678,21,2371,67
Chihuahua,3120028.0,Z.A.,Z.A. de Cueva Grande,0,0,0,0,26,0
Chihuahua,3120049.0,Z.A.,Z.A. de Huapoca,2,0,0,0,5,0
Ciudad de México,2100100.0,M.- M.H,Museo Nacional de Antropología,42359,14177,55613,18119,81161,27961
Ciudad de México,2100200.0,M.- M.H,Museo Nacional de Historia,39219,10961,33484,5614,50784,6457
Ciudad de México,2100300.0,M.- M.H,Museo Nacional de las Culturas,7563,606,7909,592,9294,699
Ciudad de México,2100400.0,M.- M.H,Museo Nacional de las Intervenciones,1204,49,1610,45,5071,80
Ciudad de México,2600100.0,M.- M.H,Museo Casa Carranza,291,12,394,3,522,9
Ciudad de México,2200200.0,M.- M.H,Museo de El Carmen,722,13,726,0,2085,10
Ciudad de México,2200100.0,M.- M.H,Galería de Historia,772,37,126,8,952,7
Ciudad de México,2500500.0,M.- M.H,Museo del Templo Mayor,10815,3595,11114,4783,27487,10253
Ciudad de México,2700100.0,M.- M.H,"Centro Comunitario Culhuacán, Ex Convento de San Juan Evangelista",298,0,545,0,1590,3
Ciudad de México,3120013.0,Z.A.,Z.A. de Cerro de la Estrella,3037,0,3639,0,10171,0
Ciudad de México,3120029.0,Z.A.,Z.A. de Cuicuilco con museo de sitio,1943,222,2136,187,4890,307
Ciudad de México,3120116.0,Z.A.,Z.A. de Tlatelolco con museo de sitio,1598,463,472,267,1303,0
